id;Código IBGE;Nome do Município
985;5200050;Abadia de Goiás
986;5200100;Abadiânia
987;5200134;Acreúna
988;5200159;Adelândia
989;5200175;Água Fria de Goiás
990;5200209;Água Limpa
991;5200258;Águas Lindas de Goiás
992;5200308;Alexânia
993;5200506;Aloândia
994;5200555;Alto Horizonte
995;5200605;Alto Paraíso de Goiás
996;5200803;Alvorada do Norte
997;5200829;Amaralina
998;5200852;Americano do Brasil
999;5200902;Amorinópolis
1000;5201108;Anápolis
1001;5201207;Anhanguera
1002;5201306;Anicuns
1003;5201405;Aparecida de Goiânia
1004;5201454;Aparecida do Rio Doce
1005;5201504;Aporé
1006;5201603;Araçu
1007;5201702;Aragarças
1008;5201801;Aragoiânia
1009;5202155;Araguapaz
1010;5202353;Arenópolis
1011;5202502;Aruanã
1012;5202601;Aurilândia
1013;5202809;Avelinópolis
1014;5203104;Baliza
1015;5203203;Barro Alto
1016;5203302;Bela Vista de Goiás
1017;5203401;Bom Jardim de Goiás
1018;5203500;Bom Jesus de Goiás
1019;5203559;Bonfinópolis
1020;5203575;Bonópolis
1021;5203609;Brazabrantes
1022;5203807;Britânia
1023;5203906;Buriti Alegre
1024;5203939;Buriti de Goiás
1025;5203962;Buritinópolis
1026;5204003;Cabeceiras
1027;5204102;Cachoeira Alta
1028;5204201;Cachoeira de Goiás
1029;5204250;Cachoeira Dourada
1030;5204300;Caçu
1031;5204409;Caiapônia
1032;5204508;Caldas Novas
1033;5204557;Caldazinha
1034;5204607;Campestre de Goiás
1035;5204656;Campinaçu
1036;5204706;Campinorte
1037;5204805;Campo Alegre de Goiás
1038;5204854;Campo Limpo de Goiás
1039;5204904;Campos Belos
1040;5204953;Campos Verdes
1041;5205000;Carmo do Rio Verde
1042;5205059;Castelândia
1043;5205109;Catalão
1044;5205208;Caturaí
1045;5205307;Cavalcante
1046;5205406;Ceres
1047;5205455;Cezarina
1048;5205471;Chapadão do Céu
1049;5205497;Cidade Ocidental
1050;5205513;Cocalzinho de Goiás
1051;5205521;Colinas do Sul
1052;5205703;Córrego do Ouro
