populacao_total_urbana;volume_produzido_m3;volume_coletado_m3;volume_tratado_m3;ano_referencia;relacao_tratado_produzido;relacao_coletado_produzido;relacao_tratado_coletado
5277325;250409.12;105148.41;84020.19;2008;0.33553165;0.41990644;0.79906285
3828914;181681.95;0.0;0.0;1994;0.0;0.0;0.0
5420323;257194.33;120749.766;100797.83;2010;0.39191312;0.46948844;0.83476627
5889694;279466.16;153135.67;130799.6;2014;0.4680338;0.54795784;0.85414195
6336751;300678.84;178778.36;158566.22;2019;0.52736074;0.59458244;0.88694304
4039498;191674.25;9285.6;7365.7;1996;0.03842822;0.04844469;0.79323906
4498602;213458.78;81814.0;20765.0;2000;0.09727874;0.38327774;0.25380743
5490045;260502.55;125469.26;108187.0;2011;0.4153011;0.4816431;0.86225903
6120422;290414.03;164291.12;143344.47;2017;0.49358657;0.56571347;0.8725028
5350726;253891.9;114814.67;93991.71;2009;0.37020364;0.4522187;0.8186385
5074090;240765.52;88511.375;67843.3;2005;0.2817816;0.3676248;0.7664924
5809184;275645.84;142809.94;123644.67;2013;0.44856352;0.5180921;0.8657988
4791078;227336.6;83870.305;28211.5;2003;0.12409573;0.36892566;0.33637056
5968658;283212.88;143631.77;125862.29;2015;0.44440877;0.50715125;0.8762845
3766331;178712.48;0.0;0.0;1993;0.0;0.0;0.0
4283399;203247.2;73454.11;13485.6;1998;0.06635073;0.3614028;0.18359217
5225693;247959.25;103569.47;81826.58;2007;0.3300001;0.41768745;0.7900647
4704286;223218.38;85920.516;28114.197;2002;0.1259493;0.38491687;0.32721168
4973275;235981.98;84640.414;42944.004;2004;0.18198001;0.35867321;0.50736994
4189135;198774.45;74522.055;14169.3;1997;0.0712833;0.3749076;0.19013566
5174167;245514.16;94909.766;69436.2;2006;0.28281954;0.38657552;0.7316023
6422699;304757.06;185062.89;170622.97;2020;0.55986553;0.60724723;0.9219729
4619522;219196.39;82478.37;27295.893;2001;0.124527104;0.3762761;0.3309461
6045567;286862.1;158526.06;138661.31;2016;0.48337272;0.5526212;0.87469095
4377787;207725.97;73485.0;15541.0;1999;0.07481491;0.35375932;0.21148534
5557223;263690.34;133497.16;114309.23;2012;0.43349797;0.50626487;0.85626715
6248993;296514.62;166347.53;147806.36;2018;0.49847916;0.5610095;0.88853955
3889952;184578.28;0.0;0.0;1995;0.0;0.0;0.0
6506706;308743.38;191156.12;178194.42;2021;0.5771603;0.6191424;0.9321931
3700435;175585.69;0.0;0.0;1992;0.0;0.0;0.0
